                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.00771,                      1,                      1,                0.55778,             0.00058252,             0.00058252,             0.00058252
                     95,                0.00884,                      1,                      1,                0.55469,             0.00058111,             0.00058111,             0.00058111
                     96,                0.01103,                      1,                      1,                0.55469,              0.0005797,              0.0005797,              0.0005797
                     97,                0.00723,                      1,                      1,                0.55469,             0.00057828,             0.00057828,             0.00057828
                     98,                0.00784,                      1,                      1,                0.55501,             0.00057687,             0.00057687,             0.00057687
                     99,                0.00527,                      1,                      1,                0.55501,             0.00057546,             0.00057546,             0.00057546
                    100,                0.00704,                      1,                      1,                0.55534,             0.00057404,             0.00057404,             0.00057404
                    101,                0.00475,                      1,                      1,                0.55566,             0.00057263,             0.00057263,             0.00057263
                    102,                0.00523,                      1,                      1,                0.55534,             0.00057121,             0.00057121,             0.00057121
                    103,                0.00691,                      1,                      1,                0.55355,              0.0005698,              0.0005698,              0.0005698
                    104,                0.00673,                      1,                      1,                0.55355,             0.00056839,             0.00056839,             0.00056839
                    105,                0.00456,                      1,                      1,                0.55355,             0.00056697,             0.00056697,             0.00056697
                    106,                0.00418,                      1,                      1,                0.55355,             0.00056556,             0.00056556,             0.00056556
                    107,                0.00454,                      1,                      1,                0.55371,             0.00056415,             0.00056415,             0.00056415
                    108,                0.00423,                      1,                      1,                0.55387,             0.00056273,             0.00056273,             0.00056273
                    109,                0.00318,                      1,                      1,                 0.5529,             0.00056132,             0.00056132,             0.00056132
                    110,                0.00441,                      1,                      1,                0.55306,              0.0005599,              0.0005599,              0.0005599
                    111,                0.00314,                      1,                      1,                 0.5529,             0.00055849,             0.00055849,             0.00055849
                    112,                0.00297,                      1,                      1,                0.55306,             0.00055708,             0.00055708,             0.00055708
                    113,                0.00335,                      1,                      1,                 0.5529,             0.00055566,             0.00055566,             0.00055566
                    114,                0.00313,                      1,                      1,                0.55306,             0.00055425,             0.00055425,             0.00055425
                    115,                0.00397,                      1,                      1,                0.55306,             0.00055284,             0.00055284,             0.00055284
                    116,                0.00248,                      1,                      1,                 0.5529,             0.00055142,             0.00055142,             0.00055142
                    117,                0.00285,                      1,                      1,                0.55257,             0.00055001,             0.00055001,             0.00055001
                    118,                0.00195,                      1,                      1,                0.55273,             0.00054859,             0.00054859,             0.00054859
                    119,                0.00307,                      1,                      1,                0.55273,             0.00054718,             0.00054718,             0.00054718
                    120,                0.00234,                      1,                      1,                0.55241,             0.00054577,             0.00054577,             0.00054577
                    121,                 0.0024,                      1,                      1,                0.55241,             0.00054435,             0.00054435,             0.00054435
                    122,                0.00217,                      1,                      1,                0.55241,             0.00054294,             0.00054294,             0.00054294
                    123,                0.00234,                      1,                      1,                0.55241,             0.00054153,             0.00054153,             0.00054153
                    124,                0.00222,                      1,                      1,                0.55257,             0.00054011,             0.00054011,             0.00054011
                    125,                0.00325,                      1,                      1,                0.55257,              0.0005387,              0.0005387,              0.0005387
                    126,                 0.0018,                      1,                      1,                0.55273,             0.00053728,             0.00053728,             0.00053728
                    127,                0.00161,                      1,                      1,                0.55273,             0.00053587,             0.00053587,             0.00053587
                    128,                 0.0017,                      1,                      1,                0.55273,             0.00053446,             0.00053446,             0.00053446
                    129,                0.00264,                      1,                      1,                0.55257,             0.00053304,             0.00053304,             0.00053304
                    130,                0.00254,                      1,                      1,                0.55273,             0.00053163,             0.00053163,             0.00053163
                    131,                0.00232,                      1,                      1,                0.55257,             0.00053022,             0.00053022,             0.00053022
                    132,                0.00154,                      1,                      1,                0.55273,              0.0005288,              0.0005288,              0.0005288
                    133,                0.00172,                      1,                      1,                0.55273,             0.00052739,             0.00052739,             0.00052739
                    134,                 0.0019,                      1,                      1,                0.55225,             0.00052598,             0.00052598,             0.00052598
                    135,                0.00162,                      1,                      1,                0.55225,             0.00052456,             0.00052456,             0.00052456
                    136,                0.00144,                      1,                      1,                0.55225,             0.00052315,             0.00052315,             0.00052315
                    137,                0.00137,                      1,                      1,                0.55241,             0.00052173,             0.00052173,             0.00052173
                    138,                0.00176,                      1,                      1,                0.55241,             0.00052032,             0.00052032,             0.00052032
                    139,                0.00163,                      1,                      1,                0.55192,             0.00051891,             0.00051891,             0.00051891
                    140,                0.00147,                      1,                      1,                0.55192,             0.00051749,             0.00051749,             0.00051749
                    141,                0.00136,                      1,                      1,                0.55192,             0.00051608,             0.00051608,             0.00051608
                    142,                 0.0014,                      1,                      1,                0.55225,             0.00051467,             0.00051467,             0.00051467
                    143,                0.00167,                      1,                      1,                0.55225,             0.00051325,             0.00051325,             0.00051325
                    144,                0.00171,                      1,                      1,                0.55225,             0.00051184,             0.00051184,             0.00051184
                    145,                 0.0014,                      1,                      1,                0.55208,             0.00051042,             0.00051042,             0.00051042
                    146,                0.00166,                      1,                      1,                0.55208,             0.00050901,             0.00050901,             0.00050901
                    147,                0.00159,                      1,                      1,                0.55208,              0.0005076,              0.0005076,              0.0005076
                    148,                0.00137,                      1,                      1,                0.55176,             0.00050618,             0.00050618,             0.00050618
                    149,                0.00117,                      1,                      1,                0.55176,             0.00050477,             0.00050477,             0.00050477
                    150,                0.00141,                      1,                      1,                0.55176,             0.00050336,             0.00050336,             0.00050336
                    151,                0.00108,                      1,                      1,                0.55176,             0.00050194,             0.00050194,             0.00050194
                    152,                0.00124,                      1,                      1,                0.55176,             0.00050053,             0.00050053,             0.00050053
                    153,                0.00106,                      1,                      1,                0.55225,             0.00049911,             0.00049911,             0.00049911
                    154,                0.00158,                      1,                      1,                0.55241,              0.0004977,              0.0004977,              0.0004977
                    155,                0.00162,                      1,                      1,                0.55225,             0.00049629,             0.00049629,             0.00049629
                    156,                0.00132,                      1,                      1,                 0.5516,             0.00049487,             0.00049487,             0.00049487
                    157,                0.00124,                      1,                      1,                 0.5516,             0.00049346,             0.00049346,             0.00049346
                    158,                0.00121,                      1,                      1,                0.55176,             0.00049205,             0.00049205,             0.00049205
                    159,                0.00139,                      1,                      1,                0.55192,             0.00049063,             0.00049063,             0.00049063
                    160,                0.00161,                      1,                      1,                0.55225,             0.00048922,             0.00048922,             0.00048922
                    161,                0.00109,                      1,                      1,                0.55225,              0.0004878,              0.0004878,              0.0004878
                    162,                0.00104,                      1,                      1,                0.55225,             0.00048639,             0.00048639,             0.00048639
                    163,                0.00117,                      1,                      1,                0.55208,             0.00048498,             0.00048498,             0.00048498
                    164,                0.00119,                      1,                      1,                0.55192,             0.00048356,             0.00048356,             0.00048356
                    165,                0.00114,                      1,                      1,                0.55192,             0.00048215,             0.00048215,             0.00048215
                    166,                0.00138,                      1,                      1,                0.55192,             0.00048074,             0.00048074,             0.00048074
                    167,                0.00106,                      1,                      1,                0.55208,             0.00047932,             0.00047932,             0.00047932
                    168,                0.00105,                      1,                      1,                0.55208,             0.00047791,             0.00047791,             0.00047791
                    169,                0.00133,                      1,                      1,                0.55225,              0.0004765,              0.0004765,              0.0004765
                    170,                0.00139,                      1,                      1,                 0.5516,             0.00047508,             0.00047508,             0.00047508
                    171,                0.00087,                      1,                      1,                 0.5516,             0.00047367,             0.00047367,             0.00047367
                    172,                0.00112,                      1,                      1,                 0.5516,             0.00047225,             0.00047225,             0.00047225
                    173,                0.00084,                      1,                      1,                0.55176,             0.00047084,             0.00047084,             0.00047084
                    174,                0.00093,                      1,                      1,                0.55176,             0.00046943,             0.00046943,             0.00046943
                    175,                0.00092,                      1,                      1,                0.55176,             0.00046801,             0.00046801,             0.00046801
                    176,                0.00082,                      1,                      1,                0.55192,              0.0004666,              0.0004666,              0.0004666
                    177,                0.00107,                      1,                      1,                0.55192,             0.00046519,             0.00046519,             0.00046519
                    178,                0.00095,                      1,                      1,                 0.5516,             0.00046377,             0.00046377,             0.00046377
                    179,                0.00095,                      1,                      1,                0.55143,             0.00046236,             0.00046236,             0.00046236
                    180,                0.00099,                      1,                      1,                 0.5516,             0.00046094,             0.00046094,             0.00046094
                    181,                0.00108,                      1,                      1,                0.55192,             0.00045953,             0.00045953,             0.00045953
                    182,                0.00088,                      1,                      1,                0.55176,             0.00045812,             0.00045812,             0.00045812
                    183,                0.00091,                      1,                      1,                0.55192,              0.0004567,              0.0004567,              0.0004567
                    184,                0.00095,                      1,                      1,                0.55143,             0.00045529,             0.00045529,             0.00045529
                    185,                0.00101,                      1,                      1,                 0.5516,             0.00045388,             0.00045388,             0.00045388
                    186,                0.00083,                      1,                      1,                 0.5516,             0.00045246,             0.00045246,             0.00045246
                    187,                0.00077,                      1,                      1,                0.55176,             0.00045105,             0.00045105,             0.00045105
                    188,                0.00077,                      1,                      1,                0.55176,             0.00044963,             0.00044963,             0.00044963
                    189,                0.00079,                      1,                      1,                0.55176,             0.00044822,             0.00044822,             0.00044822
                    190,                0.00097,                      1,                      1,                 0.5516,             0.00044681,             0.00044681,             0.00044681
                    191,                 0.0007,                      1,                      1,                 0.5516,             0.00044539,             0.00044539,             0.00044539
                    192,                0.00104,                      1,                      1,                0.55225,             0.00044398,             0.00044398,             0.00044398
                    193,                0.00094,                      1,                      1,                0.55225,             0.00044257,             0.00044257,             0.00044257
                    194,                0.00077,                      1,                      1,                0.55225,             0.00044115,             0.00044115,             0.00044115
                    195,                0.00109,                      1,                      1,                0.55143,             0.00043974,             0.00043974,             0.00043974
                    196,                0.00197,                      1,                      1,                 0.5516,             0.00043832,             0.00043832,             0.00043832
                    197,                0.00091,                      1,                      1,                0.55143,             0.00043691,             0.00043691,             0.00043691
                    198,                0.00076,                      1,                      1,                 0.5516,              0.0004355,              0.0004355,              0.0004355
